run_id,model_key,dataset_key,seed,rank,effective_bits_per_value,file_megabytes,truncated_bits_saved,random_mask_bits_saved,truncated_retained,random_mask_retained,retained_gain_points
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s11__a40ac04e3d,mistral_7b_base,panel_math,11,4,1.9979156494140624,2.618708,27337.109352377982,22767.377767507704,0.9720203026913575,0.8095352417769899,16.248506091436763
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s11__a40ac04e3d,mistral_7b_base,panel_math,11,8,1.0417724609375,2.730944,25952.023990841633,23385.186070317704,0.922771090749466,0.8315025319451573,9.12685588043086
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s11__a40ac04e3d,mistral_7b_base,panel_math,11,4,2.855937194824219,3.743334,27949.15559298195,26048.60112332053,0.9937827123296402,0.9262050651443131,6.757764718532712
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s11__a40ac04e3d,mistral_7b_base,panel_math,11,8,1.521209716796875,3.98776,27841.15312212216,26488.94365889231,0.9899424893908013,0.9418622393977103,4.808024999309093
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s11__a40ac04e3d,mistral_7b_base,panel_math,11,4,3.3500579833984374,4.390988,28141.805074800897,26975.043954883855,1.0006327126430308,0.959146413476158,4.148629916687286
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s22__4d40f6fb72,mistral_7b_base,panel_math,22,1,2.2228607177734374,0.728387,20863.22667759876,6801.7823290849665,0.7154941353879655,0.23326379192683502,48.22303434611305
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s22__4d40f6fb72,mistral_7b_base,panel_math,22,2,1.1555404663085938,0.757295,19708.666738322074,7176.2322011503975,0.6758990680346816,0.24610536679920397,42.97937012354776
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s22__4d40f6fb72,mistral_7b_base,panel_math,22,2,1.1562255859375,0.757744,19708.666738322074,7182.048168791098,0.6758990680346816,0.24630482255946734,42.959424547521415
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s22__4d40f6fb72,mistral_7b_base,panel_math,22,4,0.5796989440917969,0.759823,14715.422928961565,7208.977782877995,0.5046582184111803,0.24722836047837057,25.742985793280972
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s22__4d40f6fb72,mistral_7b_base,panel_math,22,8,0.291253662109375,0.763504,10173.040910379626,7256.658355005879,0.3488794529685001,0.2488635423347837,10.001591063371638
