baseline_heldout_bits,blend,ceiling_heldout_bits_saved,dataset_key,effective_bits_per_value,file_bits,heldout_bits_saved,heldout_total_bits,model_key,nominal_bits,rank,relative_rmse,retained_of_trained_gain,run_id,seed,tensor_values,trained_rank
137995.59933276076,0.0,16096.64475404461,kind_code,3.336537170410156,69972256,16765.71475385371,121229.88457890705,mistral_7b_base,4,8,0.12644045426334968,1.0415658051744592,mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s22__d79db6a95e,22,20971520,16
137995.59933276076,0.0,16096.64475404461,kind_code,7.208883285522461,151181240,16743.396978267585,121252.20235449317,mistral_7b_base,8,8,0.008714257998454787,1.040179318988851,mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s22__d79db6a95e,22,20971520,16
140205.45469678057,0.25,16652.790245284807,kind_code,0.27252674102783203,11430600,6749.497259686817,133455.95743709375,mistral_7b_base,0,16,0.9180105613014155,0.40530728846464154,mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s33__d6755d3785,33,41943040,16
140205.45469678057,0.5,16652.790245284807,kind_code,0.5234704971313476,21955944,10980.478812500995,129224.97588427957,mistral_7b_base,0,16,0.825560170060309,0.659377716933058,mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s33__d6755d3785,33,41943040,16
140205.45469678057,0.75,16652.790245284807,kind_code,0.7742475509643555,32474296,14559.049344207073,125646.40535257349,mistral_7b_base,0,16,0.7204808281171292,0.8742708657084917,mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s33__d6755d3785,33,41943040,16
140205.45469678057,0.0,16652.790245284807,kind_code,1.0225299835205077,42888016,15741.973995882014,124463.48070089855,mistral_7b_base,1,16,0.600565003723363,0.9453054871894103,mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s33__d6755d3785,33,41943040,16
140205.45469678057,0.5,16652.790245284807,kind_code,1.4991348266601563,62878272,16928.948872392415,123276.50582438815,mistral_7b_base,1,16,0.4896367432553813,1.016583324658509,mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s33__d6755d3785,33,41943040,16
140205.45469678057,0.0,16652.790245284807,kind_code,1.9455171585083009,81600904,17155.16056865116,123050.2941281294,mistral_7b_base,2,16,0.34227369450324047,1.0301673362821944,mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s33__d6755d3785,33,41943040,16
140205.45469678057,0.0,16652.790245284807,kind_code,2.809305191040039,117830800,16925.18198622254,123280.27271055803,mistral_7b_base,3,16,0.20142589477729622,1.0163571231562747,mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s33__d6755d3785,33,41943040,16
140205.45469678057,0.0,16652.790245284807,kind_code,3.3240793228149412,139421992,16764.312310062392,123441.14238671817,mistral_7b_base,4,16,0.12572775925330779,1.0066968996267256,mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s33__d6755d3785,33,41943040,16
