family,model,arm,seed,dominant_program,target_program,train_rows,training_region_accuracy,agreement_target,agreement_dominant,unmatched_fraction,mass_target,mass_dominant,argmax_program,elapsed_seconds
chain,mistral_7b_base,matched_influence,33,mod4,one,129,0.984375,0.908203125,0.001953125,0.041015625,0.9394477048887746,0.003945899729739189,one,170.2231719698757
chain,mistral_7b_base,matched_loss,11,mod4,one,129,0.95703125,0.5458984375,0.044921875,0.3896484375,0.7947120111473983,0.15233682503387375,one,141.82353206793778
chain,mistral_7b_base,matched_loss,22,mod4,one,129,0.97265625,0.5458984375,0.015625,0.4384765625,0.8167818694930346,0.17022782284448273,one,138.29690087004565
chain,mistral_7b_base,matched_loss,33,mod4,one,129,0.99609375,0.9384765625,0.0,0.0478515625,0.984522368038597,0.0005356013291915731,one,161.3020315929316
chain,mistral_7b_base,random_distinguishing,11,mod4,one,129,1.0,0.9609375,0.0009765625,0.03125,0.9823524444278746,0.0071250469934339405,one,136.6059326841496
chain,mistral_7b_base,random_distinguishing,22,mod4,one,129,0.97265625,0.798828125,0.06640625,0.1337890625,0.901960013860777,0.08834658772979431,one,152.96794575988315
chain,mistral_7b_base,random_distinguishing,33,mod4,one,129,0.9765625,0.888671875,0.0,0.1005859375,0.9777561709124711,0.009220040682260833,one,150.34846945805475
chain,mistral_7b_base,targeted,11,mod4,one,129,0.98828125,0.6552734375,0.0048828125,0.2919921875,0.9148708365505996,0.01520234909257313,one,144.28967795800418
chain,mistral_7b_base,targeted,22,mod4,one,129,0.98828125,0.83203125,0.001953125,0.1630859375,0.963994556012949,0.030405012375413192,one,154.2498528920114
chain,mistral_7b_base,targeted,33,mod4,one,129,0.96875,0.6376953125,0.015625,0.3466796875,0.8491056739306109,0.13574746818721634,one,154.89582056109793
chain,qwen25_7b_base,ambiguous_10,11,one,mod4,138,1.0,0.0458984375,0.3759765625,0.220703125,0.047577017384356636,0.4184611949088645,one,131.439382272074
chain,qwen25_7b_base,ambiguous_10,22,one,mod4,138,1.0,0.009765625,0.97265625,0.0126953125,0.012613705435607504,0.9767994633385912,one,136.8666749971453
chain,qwen25_7b_base,ambiguous_10,33,one,mod4,138,1.0,0.0009765625,0.9560546875,0.0146484375,0.004448078268871572,0.9496662052361415,one,133.72805257397704
chain,qwen25_7b_base,ambiguous_100,11,one,mod4,228,0.99609375,0.033203125,0.4130859375,0.2802734375,0.03783283518610305,0.5298692891436874,one,154.7233618409373
chain,qwen25_7b_base,ambiguous_100,22,one,mod4,228,0.99609375,0.0146484375,0.7314453125,0.2177734375,0.04583208559041529,0.8808856790300101,one,154.10056994692422
chain,qwen25_7b_base,ambiguous_100,33,one,mod4,228,1.0,0.03125,0.44140625,0.345703125,0.05079639545683355,0.5874924163098195,one,130.44039053702727
chain,qwen25_7b_base,ambiguous_1000,11,one,mod4,1128,1.0,0.00390625,0.7314453125,0.1533203125,0.015572067205703649,0.8176950811503244,one,135.29288572189398
chain,qwen25_7b_base,ambiguous_1000,22,one,mod4,1128,1.0,0.0009765625,0.9677734375,0.025390625,0.008615168090310543,0.981965831170097,one,131.02897479292005
chain,qwen25_7b_base,ambiguous_1000,33,one,mod4,1128,1.0,0.0029296875,0.9365234375,0.013671875,0.004517375754196917,0.9413947756441843,one,146.01715103187598
chain,qwen25_7b_base,ambiguous_10000,11,one,mod4,10128,1.0,0.0,0.9951171875,0.00390625,0.00028639122054480496,0.9966181609925115,one,155.52418005187064
chain,qwen25_7b_base,ambiguous_10000,22,one,mod4,10128,1.0,0.00390625,0.9189453125,0.0107421875,0.004150469300582736,0.9165637914679987,one,142.25111437612213
