candidate,task_family,arms,candidate_rmse,model_only_rmse
fisher_trace,kind_summary,2,0.207358228345437,0.1815766923372719
fisher_trace,panel_math,2,0.21779079959748013,0.21265106841156584
fisher_trace,sql,6,0.11428267382513495,0.12425877882783493
fisher_trace,xbrl,8,0.3697893022919316,0.26868656873425234
fisher_effective_rank,kind_code,2,0.09789510835188782,0.2930839428335009
fisher_effective_rank,kind_dialogue,2,0.40075524157961184,0.5482506234947029
fisher_effective_rank,kind_instruct,2,0.0734688658723025,0.17473807206969064
fisher_effective_rank,kind_summary,2,0.3327660341126137,0.1815766923372719
fisher_effective_rank,panel_math,2,0.2336414486090526,0.21265106841156584
fisher_effective_rank,sql,6,0.020133203452578817,0.12425877882783493
fisher_effective_rank,xbrl,8,0.07369916886827145,0.26868656873425234
fisher_logdet,kind_code,2,0.18398395786810248,0.2930839428335009
fisher_logdet,kind_dialogue,2,0.3058443078858001,0.5482506234947029
fisher_logdet,kind_instruct,2,0.17638280742834334,0.17473807206969064
fisher_logdet,kind_summary,2,0.3600572013500864,0.1815766923372719
fisher_logdet,panel_math,2,0.17225460040321988,0.21265106841156584
fisher_logdet,sql,6,0.0849768805934424,0.12425877882783493
fisher_logdet,xbrl,8,0.08183039508610607,0.26868656873425234
unit_gain_ntk_cost,kind_code,2,0.3387769135904175,0.2930839428335009
unit_gain_ntk_cost,kind_dialogue,2,0.452677863557326,0.5482506234947029
unit_gain_ntk_cost,kind_instruct,2,0.082441233545491,0.17473807206969064
unit_gain_ntk_cost,kind_summary,2,0.23862971438595468,0.1815766923372719
unit_gain_ntk_cost,panel_math,2,0.31925002363837196,0.21265106841156584
unit_gain_ntk_cost,sql,6,0.18551287836687744,0.12425877882783493
unit_gain_ntk_cost,xbrl,8,0.1953322535756428,0.26868656873425234
correction_rd90_bits,kind_code,2,0.15298904031269822,0.2930839428335009
correction_rd90_bits,kind_dialogue,2,0.4256475989215256,0.5482506234947029
correction_rd90_bits,kind_instruct,2,0.05848358111615429,0.17473807206969064
correction_rd90_bits,kind_summary,2,0.28799535683027366,0.1815766923372719
correction_rd90_bits,panel_math,2,0.2289492846853151,0.21265106841156584
correction_rd90_bits,sql,6,0.1224583622057681,0.12425877882783493
correction_rd90_bits,xbrl,8,0.3247407774344284,0.26868656873425234
angular_correction_rd90_bits,kind_code,2,0.16094235497783785,0.2930839428335009
angular_correction_rd90_bits,kind_dialogue,2,0.4226413779369924,0.5482506234947029
angular_correction_rd90_bits,kind_instruct,2,0.04847932669503868,0.17473807206969064
angular_correction_rd90_bits,kind_summary,2,0.2736150181797035,0.1815766923372719
angular_correction_rd90_bits,panel_math,2,0.22755067416997327,0.21265106841156584
angular_correction_rd90_bits,sql,6,0.12956418736140077,0.12425877882783493
angular_correction_rd90_bits,xbrl,8,0.3698699288970127,0.26868656873425234
centered_correction_rd90_bits,kind_code,2,0.19851473283229654,0.2930839428335009
centered_correction_rd90_bits,kind_dialogue,2,0.45724795394273215,0.5482506234947029
centered_correction_rd90_bits,kind_instruct,2,0.0830090171106479,0.17473807206969064
centered_correction_rd90_bits,kind_summary,2,0.2637236014953819,0.1815766923372719
centered_correction_rd90_bits,panel_math,2,0.22734138508520949,0.21265106841156584
centered_correction_rd90_bits,sql,6,0.20164133203639328,0.12425877882783493
centered_correction_rd90_bits,xbrl,8,0.9452850682634726,0.26868656873425234
centered_angular_correction_rd90_bits,kind_code,2,0.2049406226799942,0.2930839428335009
centered_angular_correction_rd90_bits,kind_dialogue,2,0.4555559095049176,0.5482506234947029
centered_angular_correction_rd90_bits,kind_instruct,2,0.05382022201278069,0.17473807206969064
centered_angular_correction_rd90_bits,kind_summary,2,0.25084640486986093,0.1815766923372719
centered_angular_correction_rd90_bits,panel_math,2,0.22636109220759362,0.21265106841156584
centered_angular_correction_rd90_bits,sql,6,0.20886855929093062,0.12425877882783493
centered_angular_correction_rd90_bits,xbrl,8,1.302716435605616,0.26868656873425234
correction_energy_rank90,kind_code,2,0.1585584196515268,0.2930839428335009
correction_energy_rank90,kind_dialogue,2,0.43132832031858476,0.5482506234947029
correction_energy_rank90,kind_instruct,2,0.06399929414410926,0.17473807206969064
correction_energy_rank90,kind_summary,2,0.2922792794837785,0.1815766923372719
correction_energy_rank90,panel_math,2,0.22662084675706334,0.21265106841156584
correction_energy_rank90,sql,6,0.13089033906048986,0.12425877882783493
correction_energy_rank90,xbrl,8,0.3246586608194841,0.26868656873425234
angular_correction_energy_rank90,kind_code,2,0.16475482264923527,0.2930839428335009
angular_correction_energy_rank90,kind_dialogue,2,0.4257125587679419,0.5482506234947029
angular_correction_energy_rank90,kind_instruct,2,0.045856218201620134,0.17473807206969064
angular_correction_energy_rank90,kind_summary,2,0.27677450545275906,0.1815766923372719
angular_correction_energy_rank90,panel_math,2,0.22583232460626337,0.21265106841156584
angular_correction_energy_rank90,sql,6,0.13745580018834114,0.12425877882783493
angular_correction_energy_rank90,xbrl,8,0.3915671913723258,0.26868656873425234
trace_normalized_correction_logdet,kind_code,2,0.09206568013445741,0.2930839428335009
trace_normalized_correction_logdet,kind_dialogue,2,0.39557470461546407,0.5482506234947029
trace_normalized_correction_logdet,kind_instruct,2,0.06833083159966576,0.17473807206969064
trace_normalized_correction_logdet,kind_summary,2,0.30196788014794246,0.1815766923372719
trace_normalized_correction_logdet,panel_math,2,0.23860286398328134,0.21265106841156584
trace_normalized_correction_logdet,sql,6,0.03463931229749092,0.12425877882783493
trace_normalized_correction_logdet,xbrl,8,0.08891618125058195,0.26868656873425234
angular_correction_logdet,kind_code,2,0.11744114661304314,0.2930839428335009
angular_correction_logdet,kind_dialogue,2,0.3843068874758206,0.5482506234947029
angular_correction_logdet,kind_instruct,2,0.06837289399580035,0.17473807206969064
angular_correction_logdet,kind_summary,2,0.28795727860292514,0.1815766923372719
angular_correction_logdet,panel_math,2,0.227557049430088,0.21265106841156584
angular_correction_logdet,sql,6,0.035346278118855094,0.12425877882783493
angular_correction_logdet,xbrl,8,0.08638211026561626,0.26868656873425234
centered_angular_correction_logdet,kind_code,2,0.17421452083276245,0.2930839428335009
centered_angular_correction_logdet,kind_dialogue,2,0.43622749259410537,0.5482506234947029
centered_angular_correction_logdet,kind_instruct,2,0.049704804441432264,0.17473807206969064
centered_angular_correction_logdet,kind_summary,2,0.24050706188138124,0.1815766923372719
centered_angular_correction_logdet,panel_math,2,0.21611468407629722,0.21265106841156584
centered_angular_correction_logdet,sql,6,0.19194972437575844,0.12425877882783493
centered_angular_correction_logdet,xbrl,8,0.8188341690257306,0.26868656873425234
dataset_correction_log_volume,kind_code,2,0.15490257378107283,0.2930839428335009
dataset_correction_log_volume,kind_dialogue,2,0.413365334830702,0.5482506234947029
dataset_correction_log_volume,kind_instruct,2,0.04513475667879822,0.17473807206969064
dataset_correction_log_volume,kind_summary,2,0.27557263220425704,0.1815766923372719
dataset_correction_log_volume,panel_math,2,0.23129414228584946,0.21265106841156584
dataset_correction_log_volume,sql,6,0.11884691397474281,0.12425877882783493
dataset_correction_log_volume,xbrl,8,0.327470985516397,0.26868656873425234
dataset_raw_correction_log_volume,kind_code,2,0.14270394205573791,0.2930839428335009
dataset_raw_correction_log_volume,kind_dialogue,2,0.4179027906281867,0.5482506234947029
dataset_raw_correction_log_volume,kind_instruct,2,0.05772750331208103,0.17473807206969064
dataset_raw_correction_log_volume,kind_summary,2,0.2917172726436549,0.1815766923372719
dataset_raw_correction_log_volume,panel_math,2,0.22856992380096938,0.21265106841156584
dataset_raw_correction_log_volume,sql,6,0.12067086716545224,0.12425877882783493
dataset_raw_correction_log_volume,xbrl,8,0.30693999334857414,0.26868656873425234
dataset_centered_correction_log_volume,kind_code,2,0.1898409803400837,0.2930839428335009
dataset_centered_correction_log_volume,kind_dialogue,2,0.4458453875755973,0.5482506234947029
dataset_centered_correction_log_volume,kind_instruct,2,0.04788345979577819,0.17473807206969064
dataset_centered_correction_log_volume,kind_summary,2,0.24759489247265443,0.1815766923372719
dataset_centered_correction_log_volume,panel_math,2,0.22252891887189988,0.21265106841156584
dataset_centered_correction_log_volume,sql,6,0.20143847491645062,0.12425877882783493
dataset_centered_correction_log_volume,xbrl,8,1.0417649698399543,0.26868656873425234
dataset_fisher_log_volume,kind_code,2,0.1993107302695454,0.2930839428335009
dataset_fisher_log_volume,kind_dialogue,2,0.3703031945233348,0.5482506234947029
dataset_fisher_log_volume,kind_instruct,2,0.07089331605357185,0.17473807206969064
dataset_fisher_log_volume,kind_summary,2,0.2934229142843561,0.1815766923372719
dataset_fisher_log_volume,panel_math,2,0.19262773454476073,0.21265106841156584
dataset_fisher_log_volume,sql,6,0.13129131382598483,0.12425877882783493
dataset_fisher_log_volume,xbrl,8,0.3552946552592611,0.26868656873425234
