run_id,model_key,dataset_key,observed_r90,predicted_r90,predicted_retention_at_lowest_rate,predicted_retention_at_highest_rate,observed_retention_at_lowest_rate,observed_retention_at_highest_rate
mistral-xbrl-tags__mistral-7b-base__xbrl-tags__all-linear-r16__s11__80584e1a66,mistral_7b_base,xbrl_tags,0.32482611756209473,nan,0.9179502091237524,0.9808664949281186,0.351644399153789,1.0
mistral-xbrl-tags__mistral-7b-base__xbrl-tags__all-linear-r16__s22__09974a212c,mistral_7b_base,xbrl_tags,0.4570186617724416,nan,0.9161447480290845,0.9808612090646393,0.3450393576380168,1.0
mistral-xbrl-tags__mistral-7b-base__xbrl-tags__all-linear-r16__s33__ecf3a58e94,mistral_7b_base,xbrl_tags,0.32994714283687027,nan,0.9206097737828753,0.9815976172608577,0.33972304204267667,1.0
numbered-broad__mistral-7b-base__behav-numbered-broad__all-linear-r16__s11__4c09e39f2e,mistral_7b_base,behav_numbered_broad,0.7362309148043723,1.7684532555079933,0.6823099624710416,0.9247849307342679,0.0,0.9999662173407471
numbered-broad__mistral-7b-base__behav-numbered-broad__all-linear-r16__s22__680bb2d3c1,mistral_7b_base,behav_numbered_broad,0.7839987176036153,1.7621719666686695,0.6851787250123148,0.9252725439236434,0.0,1.0
numbered-broad__mistral-7b-base__behav-numbered-broad__all-linear-r16__s33__09e32d9be5,mistral_7b_base,behav_numbered_broad,0.811719134558058,1.7671940940024076,0.6818364342309969,0.9249059852671604,0.0,1.0
numbered-narrow__mistral-7b-base__behav-numbered-narrow__all-linear-r16__s11__964ef6d750,mistral_7b_base,behav_numbered_narrow,0.7364891588248201,1.7523622990777994,0.6871050969814991,0.9262730952758904,0.0,0.9948926212935345
numbered-narrow__mistral-7b-base__behav-numbered-narrow__all-linear-r16__s22__0e6fdd18d6,mistral_7b_base,behav_numbered_narrow,0.727301770070704,1.7566209532198431,0.6841384659527734,0.9260205921488948,0.0,0.9971965471067742
numbered-narrow__mistral-7b-base__behav-numbered-narrow__all-linear-r16__s33__2bfbf24614,mistral_7b_base,behav_numbered_narrow,0.7577009497907123,1.7538518474359228,0.6839283644810924,0.926302362842548,0.0,1.0
plain-broad__mistral-7b-base__behav-plain-broad__all-linear-r16__s11__84831ef76d,mistral_7b_base,behav_plain_broad,0.6903826863067775,1.763437876438418,0.6824790994296792,0.9251927498652011,0.1305001838448114,1.0
plain-broad__mistral-7b-base__behav-plain-broad__all-linear-r16__s22__22dbc5d2cc,mistral_7b_base,behav_plain_broad,0.7549956141594314,1.7599042281319548,0.6828471191915806,0.9255270219631255,0.10303701650897139,0.9972204828454814
plain-broad__mistral-7b-base__behav-plain-broad__all-linear-r16__s33__c242cfb9c3,mistral_7b_base,behav_plain_broad,0.7615235325235282,1.7717625094078087,0.6775059841156139,0.9245874239973385,0.1283243570555896,1.0
plain-narrow__mistral-7b-base__behav-plain-narrow__all-linear-r16__s11__ecdeb61b9a,mistral_7b_base,behav_plain_narrow,0.6709200020379319,1.7551549125698398,0.6828447353222743,0.9260997446241129,0.1254386762801994,0.9943506989226321
plain-narrow__mistral-7b-base__behav-plain-narrow__all-linear-r16__s22__4b7bd833a8,mistral_7b_base,behav_plain_narrow,0.6786000114915965,1.757828146856519,0.6815421159273074,0.9259783255009139,0.11729499602222426,0.9957920050602906
plain-narrow__mistral-7b-base__behav-plain-narrow__all-linear-r16__s33__077b8a0ccb,mistral_7b_base,behav_plain_narrow,0.7013012161879331,1.7539670746764298,0.6833153060574492,0.92625712792784,0.1355845738964461,0.9994190993308503
preamble-broad__mistral-7b-base__behav-preamble-broad__all-linear-r16__s11__4496b055bf,mistral_7b_base,behav_preamble_broad,0.753772013871164,1.7548875263895063,0.6887539591955724,0.9257388060885383,0.0,1.0
preamble-broad__mistral-7b-base__behav-preamble-broad__all-linear-r16__s22__566a44d633,mistral_7b_base,behav_preamble_broad,0.7655690383086681,1.7469391815003301,0.6913005164584235,0.9263711840780642,0.0,1.0
preamble-broad__mistral-7b-base__behav-preamble-broad__all-linear-r16__s33__141b45c3c5,mistral_7b_base,behav_preamble_broad,0.8029349100390524,1.755021530970777,0.688549567777699,0.925762211574601,0.0,1.0
preamble-narrow__mistral-7b-base__behav-preamble-narrow__all-linear-r16__s11__8be8c4cec6,mistral_7b_base,behav_preamble_narrow,0.7523841003698403,1.7194556904755278,0.6892475938331701,0.9298281321671535,0.0,0.994881478598109
preamble-narrow__mistral-7b-base__behav-preamble-narrow__all-linear-r16__s22__230e0dc6ac,mistral_7b_base,behav_preamble_narrow,0.7357161838138777,1.7454563332587507,0.688149469116115,0.9268482677109324,0.0,0.9994163167809686
preamble-narrow__mistral-7b-base__behav-preamble-narrow__all-linear-r16__s33__0af57cc090,mistral_7b_base,behav_preamble_narrow,0.7518822475219267,1.745221756707374,0.6883455061519353,0.9268174713298845,0.0,0.9998302717574937
qwen-sup-answer__qwen25-7b-base__cot-math__all-linear-r16__s11__b6786b656a,qwen25_7b_base,cot_math,0.0823259229783888,nan,0.9447510801375382,0.9901093963461336,1.0,-92.8130429577463
qwen-sup-answer__qwen25-7b-base__cot-math__all-linear-r16__s33__aef5dabe80,qwen25_7b_base,cot_math,0.26048446427193434,nan,0.9450481082108667,0.9895081494646818,0.3705791042719273,-190.15177431603215
