model_key,dataset_key,r50,r75,r90,r95,shape_r90_over_r50
llama31_8b_base,xbrl_div_10,0.09650830565061312,0.1826434603242566,0.3154153326245817,0.4203172854477876,3.2650843418448523
llama31_8b_base,xbrl_div_30,0.09986111743372039,0.1979190712402871,0.36592021241235234,0.5070607241237818,3.681854113452219
llama31_8b_base,xbrl_tags,0.11844327984261054,0.21540304665466517,0.3743319109055164,0.48869227967113954,3.159386972618261
mistral_7b_base,gsm8k_self,0.2394921594053061,0.489747503263946,0.8302310167984425,1.0669198735513452,3.4710805746649647
mistral_7b_base,kind_code,0.3101889743338668,0.6017372720231052,0.8912459138685916,1.0677356911428084,2.8751181006273785
mistral_7b_base,kind_dialogue,0.3469669766629911,0.6160105476435155,0.9130857421944363,1.121363720191836,2.628722549644198
mistral_7b_base,kind_instruct,0.1988772219178109,0.42962822312647936,0.6433206134110628,0.7567141530699503,3.2348362392149745
mistral_7b_base,kind_summary,0.2024991720896345,0.4601340650869333,0.6521526212375844,0.7531774272425357,3.2183372104604033
mistral_7b_base,panel_math,0.26742057241247663,0.47298049217892796,0.7367548234668488,0.9459387460062638,2.75480155983494
mistral_7b_base,sql_div_100,0.1637812789547711,0.2830189288311404,0.4058057015285701,0.4943526045567442,2.479819696561483
mistral_7b_base,sql_div_10,0.15030487918607233,0.2649032955732759,0.3750096033195755,0.4573787800461475,2.4956424281692864
mistral_7b_base,sql_div_25,0.15859220741054553,0.27488249866259057,0.3870594163578436,0.473213953695295,2.4394768195791046
mistral_7b_base,text_to_sql,0.16458731294754791,0.28918448834658933,0.4154011806927527,0.502139404914942,2.525700841532799
mistral_7b_base,xbrl_div_10,0.10751688789845765,0.17633993646647536,0.2603208274649483,0.3436722822565828,2.4215643643522693
mistral_7b_base,xbrl_div_18,0.10904844737211944,0.18864182172526422,0.2940063682441318,0.3927586904273492,2.7022403149736447
mistral_7b_base,xbrl_div_30,0.10905392856904735,0.1871139917390531,0.3172142174671415,0.4259781465194072,2.9038415974042735
mistral_7b_base,xbrl_tags,0.12324321331833626,0.2104174871507032,0.37059730739046887,0.45981594702274814,2.997956674788037
mistral_7b_base,behav_numbered_broad,0.3122180595743935,0.5157714158365408,0.7773162556553485,0.9713002118733337,2.490847723760248
mistral_7b_base,behav_numbered_narrow,0.31788614942107857,0.49852503650239693,0.740497292895412,0.914091458109009,2.329308577867557
mistral_7b_base,behav_plain_broad,0.27012962825960063,0.47579977184135563,0.7356339443299124,0.9380634499038981,2.724518060478497
mistral_7b_base,behav_plain_narrow,0.26373263107573464,0.4503168905280652,0.6836070765724872,0.8592123795063039,2.5921456765627546
mistral_7b_base,behav_preamble_broad,0.3854499250246808,0.544105283948102,0.7740919874062948,0.9607758654195173,2.0079977396583004
mistral_7b_base,behav_preamble_narrow,0.3839775283081633,0.5342568572518652,0.7466608439018816,0.9039956682885436,1.9448152067377815
qwen25_7b_base,cot_math,0.14957276075028314,0.24525911213452226,0.3970951432902005,0.5468316456640065,2.7083499865150245
qwen25_7b_base,gsm8k_self,0.42120426308272735,0.719917900646789,1.020526276442425,1.322035781102883,2.423853923328348
qwen25_7b_base,kind_code,0.35769228506906425,0.49684005940198356,0.6636677805530579,0.847187894384016,1.8549662351543672
qwen25_7b_base,kind_dialogue,0.3732389342582824,0.706404210091755,1.157629815291295,1.4457564726515317,3.1011603139022887
qwen25_7b_base,kind_instruct,0.20068778535508905,0.41961966930235595,0.7741610807841629,1.0711304043360756,3.8556565213301597
qwen25_7b_base,kind_summary,0.10679139964332228,0.18357217868380307,0.38937942099444894,0.64015973527103,3.652397863668558
qwen25_7b_base,panel_math,0.1336948090000825,0.24283761028366369,0.4117867071038938,0.5577924955945036,3.0783640362397553
qwen25_7b_base,sql_div_100,0.1188229997256806,0.26545783056081085,0.5996135318931864,0.8377922421645319,5.046777378797805
qwen25_7b_base,sql_div_10,0.11500711230528461,0.2574632278107165,0.5837010484948505,0.827094868886281,5.075084844371115
qwen25_7b_base,sql_div_25,0.11891032829789805,0.273862741397401,0.6111430273430632,0.8488635357691137,5.1499286461867095
qwen25_7b_base,text_to_sql,0.11829563998308905,0.2668270261373537,0.6026989043759882,0.8442877154335647,5.094710291684628
qwen25_7b_base,xbrl_div_10,0.14885728392615777,0.2566979470275709,0.39692698878573274,0.4940515993679863,2.666975151129592
qwen25_7b_base,xbrl_div_18,0.15374320683933398,0.27986817051778984,0.44301847040737,0.5751927372156417,2.8779255659327343
qwen25_7b_base,xbrl_div_30,0.15127025394821317,0.2739557469485619,0.4672016909313479,0.6563195143044109,3.0842569815751335
qwen25_7b_base,xbrl_tags,0.16692154794688285,0.2941949841257656,0.47332252923669493,0.5972175085876045,2.836826297432055
qwen3_8b_base,kind_code,0.22514815442037728,0.4564733130152255,0.8262603854880338,1.2081415305243794,3.6789976753378397
qwen3_8b_base,kind_dialogue,0.3816028793979838,0.6944641769053411,1.072294580618917,1.396323164411917,2.8103795462717263
qwen3_8b_base,kind_instruct,0.2416108518460206,0.4897391334727555,0.8305701590689633,1.1180657419158637,3.445001464003647
qwen3_8b_base,kind_summary,0.13859487486460662,0.25766174733764385,0.6226600004746402,0.990954653186345,4.4940153893379735
qwen3_8b_base,paws_channel,0.08775463886886674,0.13885171422758472,0.2126234069741835,0.31158389577625,2.4253124744957204
qwen3_8b_base,text_to_sql,0.1713862803042323,0.4407656139251346,0.7903979121591863,1.016129123595768,4.607347343729292
qwen3_8b_base,xbrl_tags,0.16591261724391346,0.31800271897074417,0.5282803099810326,0.6980638991167051,3.1844942325554952
mistral_7b_base,lever_dup_32k,0.22658955443689854,0.4473382860690767,0.7704477633881855,1.097210972688674,3.399896222362436
mistral_7b_base,behav_shouted_broad,0.3642343731808893,0.5714288819611631,0.8469523121314203,1.06507316860019,2.324912925855471
mistral_7b_base,behav_shouted_narrow,0.35393959983311185,0.5264727036769018,0.7811280014515966,0.9512458834764504,2.2078096771686395
mistral_7b_base,cot_math,0.21942290188273134,0.37283502102506105,0.612220630631453,0.821456546713184,2.580946162258597
mistral_7b_base,behav_symbolic_broad,0.5235110012739043,0.7531931541811318,1.0911867212126178,1.3582036809402822,2.084560557903164
mistral_7b_base,behav_symbolic_narrow,0.5118865785591197,0.7317550405945505,1.0315063053096194,1.298041325818431,2.0140616947143273
