run_id,bits_64,ceiling_64,share_of_ceiling_64,bits_128,ceiling_128,share_of_ceiling_128
numbered-broad__mistral-7b-base__behav-numbered-broad__all-linear-r16__s33__09e32d9be5,0.4528055250273586,0.4593693752662417,0.9857111714617919,0.8935093711410748,0.9187387505324834,0.9725391147627264
numbered-narrow__mistral-7b-base__behav-numbered-narrow__all-linear-r16__s11__964ef6d750,0.45244964218148076,0.4593693752662417,0.9849364510188551,0.8935408969528986,0.9187387505324834,0.9725734289916687
numbered-narrow__mistral-7b-base__behav-numbered-narrow__all-linear-r16__s22__0e6fdd18d6,0.453065705300352,0.4593693752662417,0.9862775572223633,0.8947063750643316,0.9187387505324834,0.9738419921286403
numbered-narrow__mistral-7b-base__behav-numbered-narrow__all-linear-r16__s33__2bfbf24614,0.45319495042825986,0.4593693752662417,0.9865589106056465,0.8966143317150862,0.9187387505324834,0.9759187050676001
plain-broad__mistral-7b-base__behav-plain-broad__all-linear-r16__s11__84831ef76d,0.44495677328208894,0.4521917287777067,0.9840002480470527,0.8864836026561829,0.9115611040439484,0.9724895004004509
plain-broad__mistral-7b-base__behav-plain-broad__all-linear-r16__s22__22dbc5d2cc,0.45291500967327586,0.4593693752662417,0.9859495083031492,0.894601688567611,0.9187387505324834,0.9737280462472242
plain-broad__mistral-7b-base__behav-plain-broad__all-linear-r16__s33__c242cfb9c3,0.4546466837534132,0.4593693752662417,0.9897191851109114,0.8972737046869945,0.9187387505324834,0.976636398722653
plain-narrow__mistral-7b-base__behav-plain-narrow__all-linear-r16__s11__ecdeb61b9a,0.45416387357259935,0.4593693752662417,0.9886681568821923,0.8949781216681647,0.9187387505324834,0.9741377743667092
plain-narrow__mistral-7b-base__behav-plain-narrow__all-linear-r16__s22__4b7bd833a8,0.45229217444684594,0.4593693752662417,0.9845936599162842,0.8917975872351919,0.9187387505324834,0.9706759257931844
plain-narrow__mistral-7b-base__behav-plain-narrow__all-linear-r16__s33__077b8a0ccb,0.45353808519509514,0.4593693752662417,0.9873058797884232,0.8947462916568879,0.9187387505324834,0.973885439291975
preamble-broad__mistral-7b-base__behav-preamble-broad__all-linear-r16__s11__4496b055bf,0.4457786058390456,0.4521917287777067,0.9858176907481346,0.888861250975095,0.9115611040439484,0.9750978261707852
preamble-broad__mistral-7b-base__behav-preamble-broad__all-linear-r16__s22__566a44d633,0.45319897222500505,0.4593693752662417,0.9865676656445362,0.8971032384957726,0.9187387505324834,0.9764508550181743
