model_key,dataset_key,probe_updates,probe_adapter,probe_seeds,target_seeds,probe_file_bits,target_file_bits,probe_bits_per_value,target_bits_per_value,probe_rank,target_rank,probe_ceiling,target_ceiling
qwen25_7b_base,kind_code,1,all_linear_r16,1,1,5374404.605781274,3855883.2066932786,0.13312809450672877,0.09551316315027407,1.0,1.0,2747.3501520146965,7875.853870785242
qwen25_7b_base,kind_code,1,probe_wide_r64,1,1,6175520.84068248,3855883.2066932786,0.15297235366728348,0.09551316315027407,1.0,1.0,2771.6667392061936,7875.853870785242
qwen25_7b_base,kind_code,8,all_linear_r16,1,1,4484199.1875832975,3855883.2066932786,0.11107702843760943,0.09551316315027407,1.0,1.0,6815.090045194869,7875.853870785242
qwen25_7b_base,kind_code,8,probe_wide_r64,1,1,10956665.43246511,3855883.2066932786,0.27140494588047154,0.09551316315027407,2.0,1.0,7163.560260477185,7875.853870785242
qwen25_7b_base,kind_dialogue,1,all_linear_r16,1,1,13749788.763852427,5163340.876328271,0.3405927376648649,0.1278998852105146,2.0,1.0,1404.7959105010887,4129.926242314177
qwen25_7b_base,kind_summary,1,all_linear_r16,1,1,3391618.240271769,3100728.1596711953,0.0840129664104454,0.07680739761132563,1.0,1.0,2700.5549714419103,3025.028564999482
qwen25_7b_base,panel_math,1,all_linear_r16,1,1,5124598.559077423,2993094.580963298,0.1269402085112887,0.07414123190751752,1.0,1.0,3233.3705486867148,4501.527601321033
qwen25_7b_base,text_to_sql,1,all_linear_r16,1,1,10031652.470595855,4228377.473735344,0.24849167044988496,0.10474012978628935,2.0,1.0,1575.4365772673123,2193.5261771379323
qwen25_7b_base,xbrl_tags,1,all_linear_r16,2,2,36336037.72067878,3546156.7630943595,0.9000713229657156,0.08784100329645231,10.0,1.0,998.8811626151032,2011.5381195000864
qwen25_7b_base,xbrl_tags,8,all_linear_r16,1,1,5627536.835995019,3157197.87198557,0.1393983726004816,0.07820619538506768,1.0,1.0,1771.743515318797,2063.5772700359225
qwen25_math_7b_base,kind_code,1,all_linear_r16,1,1,23085880.78874735,5287473.275962396,0.5718548462297354,0.13097473927194164,4.0,1.0,7237.194183655374,18249.128929042316
qwen25_math_7b_base,kind_code,1,probe_wide_r64,1,1,49329161.87698877,5287473.275962396,1.2219209021280653,0.13097473927194164,16.0,1.0,7119.996145913348,18249.128929042316
qwen25_math_7b_base,kind_code,8,all_linear_r16,1,1,10902862.29477362,5287473.275962396,0.2700722011906418,0.13097473927194164,2.0,1.0,11834.62915597565,18249.128929042316
qwen25_math_7b_base,kind_code,8,probe_wide_r64,1,1,5521596.877739438,5287473.275962396,0.1367741591649102,0.13097473927194164,1.0,1.0,14695.939960736869,18249.128929042316
qwen25_math_7b_base,panel_math,1,all_linear_r16,1,1,14634921.923229575,4931134.051534563,0.36251816002064435,0.12214794534298198,2.0,1.0,10691.120753071831,17787.342376300694
qwen25_math_7b_base,xbrl_tags,1,all_linear_r16,1,1,5537032.317489434,3144824.592189947,0.13715650676106625,0.0778996998227094,1.0,1.0,2626.42177946809,4490.074850804865
